id,expense_date,marketplace_sku,expense_type,expense_amount
1369012,2026-07-10,3542411518,advertising_other,17.53
1369010,2026-07-10,3542412010,advertising_other,6.56
1369050,2026-07-10,3542444867,advertising_other,42.61
1369040,2026-07-10,3543774425,advertising_other,8.77
1369023,2026-07-10,3548533275,advertising_other,18.35
1369071,2026-07-10,3693195731,advertising_other,13.16
1369062,2026-07-10,3790062617,advertising_other,3.24
1369036,2026-07-10,3790069338,advertising_other,38.33
1369052,2026-07-10,3790069340,advertising_other,42.55
1368891,2026-07-10,3790074216,advertising_other,18.18
1368822,2026-07-10,3800976449,advertising_other,6.18
1368955,2026-07-10,991746389,advertising_other,10.16
1369096,2026-07-10,997202925,advertising_other,47.01
1392434,2026-07-11,1543282210,advertising_other,5.45
1392513,2026-07-11,3118764637,advertising_other,1.0
1392568,2026-07-11,3542413788,advertising_other,17.59
1392582,2026-07-11,3543970264,advertising_other,5.52
1392531,2026-07-11,3563655924,advertising_other,26.18
1392615,2026-07-11,3693195805,advertising_other,12.58
1392612,2026-07-11,3693196896,advertising_other,33.13
1392468,2026-07-11,3790063829,advertising_other,14.58
1392574,2026-07-11,3790065181,advertising_other,18.0
1392367,2026-07-11,3800976002,advertising_other,4.33
1392412,2026-07-11,3825054077,advertising_other,10.51
1392425,2026-07-11,3825059296,advertising_other,6.71
1418145,2026-07-12,1620655885,advertising_other,152.53
1418376,2026-07-12,2860134307,advertising_other,4.26
1418459,2026-07-12,3542170012,advertising_other,8.64
1418456,2026-07-12,3542372332,advertising_other,5.59
1418453,2026-07-12,3542372932,advertising_other,13.28
1418439,2026-07-12,3542376827,advertising_other,11.02
1418473,2026-07-12,3543778054,advertising_other,11.06
1418435,2026-07-12,3790061233,advertising_other,8.83
1418467,2026-07-12,3790062259,advertising_other,20.91
1418468,2026-07-12,3790063524,advertising_other,12.86
1418285,2026-07-12,3800976193,advertising_other,7.72
1418378,2026-07-12,3825054310,advertising_other,16.53
1418401,2026-07-12,3825054612,advertising_other,18.88
1418335,2026-07-12,3825054777,advertising_other,7.05
1418111,2026-07-12,997206286,advertising_other,277.94
2064932,2026-07-13,1058566476,advertising_other,482.78
2064943,2026-07-13,1059424862,advertising_other,31.3
2064945,2026-07-13,1059424891,advertising_other,370.62
2064953,2026-07-13,1116114582,advertising_other,12.87
2064949,2026-07-13,1116114590,advertising_other,421.14
2064928,2026-07-13,1157888611,advertising_other,684.8499999999999
2064941,2026-07-13,1175221871,advertising_other,480.6
2064965,2026-07-13,1175225001,advertising_other,459.06
2064963,2026-07-13,1175227677,advertising_other,637.03
2064939,2026-07-13,1175227765,advertising_other,412.29
2064964,2026-07-13,1175230178,advertising_other,447.52
2064962,2026-07-13,1175230588,advertising_other,474.48
2064950,2026-07-13,1218451520,advertising_other,362.27
2064951,2026-07-13,1219891869,advertising_other,648.06
2064961,2026-07-13,1538675767,advertising_other,503.93
2064938,2026-07-13,1538676008,advertising_other,47.72
2064959,2026-07-13,1538676443,advertising_other,78.85
2064948,2026-07-13,1538676828,advertising_other,12.18
2064952,2026-07-13,1539237526,advertising_other,49.31
2064930,2026-07-13,1680926722,advertising_other,168.15
2064947,2026-07-13,1680926746,advertising_other,21.24
2064954,2026-07-13,1680926758,advertising_other,9.74
2064958,2026-07-13,1680926766,advertising_other,111.28
2064935,2026-07-13,1680926932,advertising_other,453.3
2064955,2026-07-13,1680926941,advertising_other,13.05
2064937,2026-07-13,1711492279,advertising_other,147.93
2064946,2026-07-13,2568755321,advertising_other,500.57
2064922,2026-07-13,3542273051,advertising_other,37.99
1582812,2026-07-13,3542376025,advertising_other,27.04
2039354,2026-07-13,3542393431,advertising_other,9.87
2064906,2026-07-13,3542395281,advertising_other,48.77
2064912,2026-07-13,3542398514,advertising_other,21.66
1610337,2026-07-13,3542416365,advertising_other,120.72
1582027,2026-07-13,3543755546,advertising_other,18.71
1542243,2026-07-13,3543968257,advertising_other,27.16
1610336,2026-07-13,3543969338,advertising_other,9.91
2064905,2026-07-13,3544004711,advertising_other,12.28
1752127,2026-07-13,3548528709,advertising_other,154.3
2064903,2026-07-13,3553380455,advertising_other,282.8
2064907,2026-07-13,3563059663,advertising_other,12.44
2064919,2026-07-13,3790058408,advertising_other,41.35
2064908,2026-07-13,3790059222,advertising_other,72.32
2064925,2026-07-13,3790059274,advertising_other,7.72
1579248,2026-07-13,3790059891,advertising_other,160.4
2064904,2026-07-13,3790060074,advertising_other,15.91
1615803,2026-07-13,3790060709,advertising_other,146.12
